,State,Total Cases-State,New Cases-State,Total Deaths-State,New Deaths-State,Fatality Rate-State,Date-State
22032,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22031,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22030,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22029,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22028,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22027,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22026,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22025,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22023,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22009,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22022,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22021,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22020,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22019,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22018,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22017,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22016,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22015,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22014,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22013,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22012,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22011,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22010,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22103,California,852410,3334,16567,81,0.0194,2020-10-10
22104,California,852410,3334,16567,81,0.0194,2020-10-10
22105,California,852410,3334,16567,81,0.0194,2020-10-10
22106,California,852410,3334,16567,81,0.0194,2020-10-10
22199,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22198,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22197,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22196,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22195,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22194,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22193,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22192,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22191,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22190,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22189,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22188,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22187,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22186,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22185,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22184,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22183,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22182,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22181,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22180,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22179,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22178,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22177,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22176,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22175,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22174,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22173,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22172,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22171,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22200,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22201,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22202,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22218,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22231,California,852410,3334,16567,81,0.0194,2020-10-10
22230,California,852410,3334,16567,81,0.0194,2020-10-10
22229,California,852410,3334,16567,81,0.0194,2020-10-10
22228,California,852410,3334,16567,81,0.0194,2020-10-10
22227,California,852410,3334,16567,81,0.0194,2020-10-10
22226,California,852410,3334,16567,81,0.0194,2020-10-10
22225,California,852410,3334,16567,81,0.0194,2020-10-10
22224,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22223,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22222,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22221,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22220,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22219,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22217,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22203,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22216,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22215,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22214,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22213,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22212,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22211,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22210,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22209,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22208,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22207,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22206,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22205,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22204,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22170,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22169,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22168,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22121,California,852410,3334,16567,81,0.0194,2020-10-10
22134,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22133,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22132,California,852410,3334,16567,81,0.0194,2020-10-10
22131,California,852410,3334,16567,81,0.0194,2020-10-10
22130,California,852410,3334,16567,81,0.0194,2020-10-10
22129,California,852410,3334,16567,81,0.0194,2020-10-10
22128,California,852410,3334,16567,81,0.0194,2020-10-10
22127,California,852410,3334,16567,81,0.0194,2020-10-10
22126,California,852410,3334,16567,81,0.0194,2020-10-10
22125,California,852410,3334,16567,81,0.0194,2020-10-10
22124,California,852410,3334,16567,81,0.0194,2020-10-10
22123,California,852410,3334,16567,81,0.0194,2020-10-10
22122,California,852410,3334,16567,81,0.0194,2020-10-10
22120,California,852410,3334,16567,81,0.0194,2020-10-10
22136,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22119,California,852410,3334,16567,81,0.0194,2020-10-10
22118,California,852410,3334,16567,81,0.0194,2020-10-10
22117,California,852410,3334,16567,81,0.0194,2020-10-10
22116,California,852410,3334,16567,81,0.0194,2020-10-10
22115,California,852410,3334,16567,81,0.0194,2020-10-10
22114,California,852410,3334,16567,81,0.0194,2020-10-10
22113,California,852410,3334,16567,81,0.0194,2020-10-10
22112,California,852410,3334,16567,81,0.0194,2020-10-10
22111,California,852410,3334,16567,81,0.0194,2020-10-10
22110,California,852410,3334,16567,81,0.0194,2020-10-10
22109,California,852410,3334,16567,81,0.0194,2020-10-10
22108,California,852410,3334,16567,81,0.0194,2020-10-10
22107,California,852410,3334,16567,81,0.0194,2020-10-10
22135,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22137,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22167,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22153,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22166,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22165,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22164,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22163,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22162,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22161,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22160,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22159,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22158,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22157,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22156,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22155,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22154,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22152,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22138,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22151,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22150,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22149,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22148,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22147,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22146,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22145,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22144,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22143,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22142,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22141,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22140,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22139,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21976,California,852410,3334,16567,81,0.0194,2020-10-10
21974,California,852410,3334,16567,81,0.0194,2020-10-10
24818,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21781,California,852410,3334,16567,81,0.0194,2020-10-10
21811,California,852410,3334,16567,81,0.0194,2020-10-10
21810,California,852410,3334,16567,81,0.0194,2020-10-10
21809,California,852410,3334,16567,81,0.0194,2020-10-10
21808,California,852410,3334,16567,81,0.0194,2020-10-10
21807,California,852410,3334,16567,81,0.0194,2020-10-10
21806,California,852410,3334,16567,81,0.0194,2020-10-10
21805,California,852410,3334,16567,81,0.0194,2020-10-10
21804,California,852410,3334,16567,81,0.0194,2020-10-10
21803,California,852410,3334,16567,81,0.0194,2020-10-10
21802,California,852410,3334,16567,81,0.0194,2020-10-10
21801,California,852410,3334,16567,81,0.0194,2020-10-10
21800,California,852410,3334,16567,81,0.0194,2020-10-10
21799,California,852410,3334,16567,81,0.0194,2020-10-10
21798,California,852410,3334,16567,81,0.0194,2020-10-10
21797,California,852410,3334,16567,81,0.0194,2020-10-10
21796,California,852410,3334,16567,81,0.0194,2020-10-10
21795,California,852410,3334,16567,81,0.0194,2020-10-10
21794,California,852410,3334,16567,81,0.0194,2020-10-10
21793,California,852410,3334,16567,81,0.0194,2020-10-10
21792,California,852410,3334,16567,81,0.0194,2020-10-10
21791,California,852410,3334,16567,81,0.0194,2020-10-10
21790,California,852410,3334,16567,81,0.0194,2020-10-10
21789,California,852410,3334,16567,81,0.0194,2020-10-10
21788,California,852410,3334,16567,81,0.0194,2020-10-10
21787,California,852410,3334,16567,81,0.0194,2020-10-10
21786,California,852410,3334,16567,81,0.0194,2020-10-10
21785,California,852410,3334,16567,81,0.0194,2020-10-10
21784,California,852410,3334,16567,81,0.0194,2020-10-10
21783,California,852410,3334,16567,81,0.0194,2020-10-10
21812,California,852410,3334,16567,81,0.0194,2020-10-10
21813,California,852410,3334,16567,81,0.0194,2020-10-10
21814,California,852410,3334,16567,81,0.0194,2020-10-10
21830,California,852410,3334,16567,81,0.0194,2020-10-10
21843,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21842,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21841,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21840,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21839,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21838,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21837,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21836,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21835,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21834,California,852410,3334,16567,81,0.0194,2020-10-10
21833,California,852410,3334,16567,81,0.0194,2020-10-10
21832,California,852410,3334,16567,81,0.0194,2020-10-10
21831,California,852410,3334,16567,81,0.0194,2020-10-10
21829,California,852410,3334,16567,81,0.0194,2020-10-10
21815,California,852410,3334,16567,81,0.0194,2020-10-10
21828,California,852410,3334,16567,81,0.0194,2020-10-10
21827,California,852410,3334,16567,81,0.0194,2020-10-10
21826,California,852410,3334,16567,81,0.0194,2020-10-10
21825,California,852410,3334,16567,81,0.0194,2020-10-10
21824,California,852410,3334,16567,81,0.0194,2020-10-10
21823,California,852410,3334,16567,81,0.0194,2020-10-10
21822,California,852410,3334,16567,81,0.0194,2020-10-10
21821,California,852410,3334,16567,81,0.0194,2020-10-10
21820,California,852410,3334,16567,81,0.0194,2020-10-10
21819,California,852410,3334,16567,81,0.0194,2020-10-10
21818,California,852410,3334,16567,81,0.0194,2020-10-10
21817,California,852410,3334,16567,81,0.0194,2020-10-10
21816,California,852410,3334,16567,81,0.0194,2020-10-10
21782,California,852410,3334,16567,81,0.0194,2020-10-10
21780,California,852410,3334,16567,81,0.0194,2020-10-10
21973,California,852410,3334,16567,81,0.0194,2020-10-10
21779,California,852410,3334,16567,81,0.0194,2020-10-10
21746,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21745,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21744,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21743,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21742,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21741,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21740,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21739,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21738,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21737,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21736,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21735,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21734,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21733,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21732,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21731,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21730,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21729,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21728,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21727,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21726,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21725,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21724,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21723,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21722,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21721,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21720,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21719,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21718,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21747,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21748,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21749,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21765,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21778,California,852410,3334,16567,81,0.0194,2020-10-10
21777,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21776,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21775,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21774,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21773,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21772,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21771,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21770,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21769,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21768,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21767,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21766,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21764,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21750,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21763,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21762,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21761,Indiana,133411,1918,3782,21,0.0283,2020-10-10
