State,Total Cases,New Cases,Total Deaths,New Deaths,Fatality Rate,Latitude,Longitude,Date
North Dakota,186,13,3,0,0.0161,47.5289,-99.784,2020-04-04
Ohio,3739,427,102,11,0.0273,40.3888,-82.7649,2020-04-04
Oklahoma,1161,171,42,4,0.0362,35.5653,-96.9289,2020-04-04
Oregon,899,0,22,0,0.0245,44.572,-122.0709,2020-04-04
Pennsylvania,10444,1874,136,34,0.013,40.5908,-77.2098,2020-04-04
Rhode Island,806,95,17,3,0.0211,41.6809,-71.5118,2020-04-04
South Carolina,1917,217,40,6,0.0209,33.8569,-80.945,2020-04-04
South Dakota,212,25,2,0,0.0094,44.2998,-99.4388,2020-04-04
Tennessee,3322,255,50,9,0.0151,35.7478,-86.6923,2020-04-04
Texas,6567,833,116,16,0.0177,31.0545,-97.5635,2020-04-04
Utah,1435,180,8,1,0.0056,40.15,-111.8624,2020-04-04
Vermont,461,72,20,3,0.0434,44.0459,-72.7107,2020-04-04
Virginia,2407,395,52,6,0.0216,37.7693,-78.17,2020-04-04
Washington,7247,401,315,24,0.0435,47.4009,-121.4905,2020-04-04
West Virginia,282,45,2,0,0.0071,38.4912,-80.9545,2020-04-04
Wisconsin,2030,18,54,3,0.0266,44.2685,-89.6165,2020-04-04
Wyoming,187,25,0,0,0,42.756,-107.3025,2020-04-04
Alabama,1765,151,45,1,0.0255,32.3182,-86.9023,2020-04-05
Alaska,185,14,6,1,0.0324,61.3707,-152.4044,2020-04-05
Arizona,2486,299,64,12,0.0257,33.7298,-111.4312,2020-04-05
Arkansas,837,94,16,2,0.0191,34.9697,-92.3731,2020-04-05
California,15034,2197,348,59,0.0231,36.1162,-119.6816,2020-04-05
Colorado,4950,762,140,29,0.0283,39.0598,-105.3111,2020-04-05
Connecticut,5675,399,189,24,0.0333,41.5978,-72.7554,2020-04-05
Delaware,673,80,14,0,0.0208,39.3185,-75.5071,2020-04-05
District of Columbia,1002,100,22,1,0.022,38.8974,-77.0268,2020-04-05
Florida,12350,813,221,26,0.0179,27.7663,-81.6868,2020-04-05
Georgia,6647,487,211,10,0.0317,33.0406,-83.6431,2020-04-05
Idaho,1078,56,10,0,0.0093,44.2405,-114.4788,2020-04-05
Illinois,11259,902,274,30,0.0243,40.3495,-88.9861,2020-04-05
Indiana,4411,458,127,11,0.0288,39.8494,-86.2583,2020-04-05
Iowa,869,82,18,4,0.0207,42.0115,-93.2105,2020-04-05
Kansas,751,53,22,1,0.0293,38.5266,-96.7265,2020-04-05
Kentucky,955,38,45,5,0.0471,37.6681,-84.6701,2020-04-05
Louisiana,13010,514,477,68,0.0367,31.1695,-91.8678,2020-04-05
Maine,470,14,10,0,0.0213,44.6939,-69.3819,2020-04-05
Maryland,3617,492,67,13,0.0185,39.0639,-76.8021,2020-04-05
Massachusetts,12500,764,231,15,0.0185,42.2302,-71.5301,2020-04-05
Michigan,15718,1493,617,77,0.0393,43.3266,-84.5361,2020-04-05
Minnesota,935,70,29,5,0.031,45.6945,-93.9002,2020-04-05
Mississippi,1638,183,43,8,0.0263,32.7416,-89.6787,2020-04-05
Missouri,2347,37,44,11,0.0187,38.4561,-92.2884,2020-04-05
Montana,286,21,6,0,0.021,46.9219,-110.4544,2020-04-05
Nebraska,364,43,8,2,0.022,41.1254,-98.2681,2020-04-05
Nevada,1855,113,46,0,0.0248,38.3135,-117.0554,2020-04-05
New Hampshire,621,81,9,2,0.0145,43.4525,-71.5639,2020-04-05
New Jersey,37505,3381,917,71,0.0245,40.2989,-74.521,2020-04-05
New Mexico,670,136,12,2,0.0179,34.8405,-106.2485,2020-04-05
New York,123160,9327,4159,594,0.0338,42.1657,-74.9481,2020-04-05
North Carolina,2649,163,38,4,0.0143,35.6301,-79.8064,2020-04-05
North Dakota,207,21,3,0,0.0145,47.5289,-99.784,2020-04-05
Ohio,4043,304,119,17,0.0294,40.3888,-82.7649,2020-04-05
Oklahoma,1254,93,46,4,0.0367,35.5653,-96.9289,2020-04-05
Oregon,1068,169,27,5,0.0253,44.572,-122.0709,2020-04-05
Pennsylvania,11589,1145,151,15,0.013,40.5908,-77.2098,2020-04-05
Rhode Island,922,116,25,8,0.0271,41.6809,-71.5118,2020-04-05
South Carolina,2049,132,44,4,0.0215,33.8569,-80.945,2020-04-05
South Dakota,240,28,2,0,0.0083,44.2998,-99.4388,2020-04-05
Tennessee,3633,311,53,3,0.0146,35.7478,-86.6923,2020-04-05
Texas,7209,642,136,20,0.0189,31.0545,-97.5635,2020-04-05
Utah,1608,173,8,0,0.005,40.15,-111.8624,2020-04-05
Vermont,512,51,22,2,0.043,44.0459,-72.7107,2020-04-05
Virginia,2640,233,52,0,0.0197,37.7693,-78.17,2020-04-05
Washington,7825,578,336,21,0.0429,47.4009,-121.4905,2020-04-05
West Virginia,324,42,3,1,0.0093,38.4912,-80.9545,2020-04-05
Wisconsin,2320,290,74,20,0.0319,44.2685,-89.6165,2020-04-05
Wyoming,197,10,0,0,0,42.756,-107.3025,2020-04-05
