State,Total Cases,New Cases,Total Deaths,New Deaths,Fatality Rate,Latitude,Longitude,Date
Wisconsin,13885,472,487,6,0.0351,44.2685,-89.6165,2020-05-21
Wyoming,801,14,12,1,0.015,42.756,-107.3025,2020-05-21
Alabama,13670,382,541,12,0.0396,32.3182,-86.9023,2020-05-22
Alaska,403,2,10,0,0.0248,61.3707,-152.4044,2020-05-22
Arizona,15624,276,775,11,0.0496,33.7298,-111.4312,2020-05-22
Arkansas,5612,154,113,3,0.0201,34.9697,-92.3731,2020-05-22
California,90252,2221,3666,83,0.0406,36.1162,-119.6816,2020-05-22
Colorado,23487,296,1324,14,0.0564,39.0598,-105.3111,2020-05-22
Connecticut,39640,432,3637,54,0.0918,41.5978,-72.7554,2020-05-22
Delaware,8529,143,322,5,0.0378,39.3185,-75.5071,2020-05-22
District of Columbia,7893,105,418,6,0.053,38.8974,-77.0268,2020-05-22
Florida,49451,776,2190,46,0.0443,27.7663,-81.6868,2020-05-22
Georgia,41482,819,1808,33,0.0436,33.0406,-83.6431,2020-05-22
Idaho,2595,89,79,2,0.0304,44.2405,-114.4788,2020-05-22
Illinois,105444,2756,4715,108,0.0447,40.3495,-88.9861,2020-05-22
Indiana,30409,473,1941,28,0.0638,39.8494,-86.2583,2020-05-22
Iowa,16492,322,424,14,0.0257,42.0115,-93.2105,2020-05-22
Kansas,8909,284,205,1,0.023,38.5266,-96.7265,2020-05-22
Kentucky,8426,140,391,5,0.0464,37.6681,-84.6701,2020-05-22
Louisiana,36925,421,2668,39,0.0723,31.1695,-91.8678,2020-05-22
Maine,1948,71,75,2,0.0385,44.6939,-69.3819,2020-05-22
Maryland,44424,893,2207,48,0.0497,39.0639,-76.8021,2020-05-22
Massachusetts,90889,805,6228,80,0.0685,42.2302,-71.5301,2020-05-22
Michigan,53913,403,5158,29,0.0957,43.3266,-84.5361,2020-05-22
Minnesota,19005,805,851,33,0.0448,45.6945,-93.9002,2020-05-22
Mississippi,12625,403,595,15,0.0471,32.7416,-89.6787,2020-05-22
Missouri,11836,147,677,9,0.0572,38.4561,-92.2884,2020-05-22
Montana,479,0,16,0,0.0334,46.9219,-110.4544,2020-05-22
Nebraska,11662,235,147,9,0.0126,41.1254,-98.2681,2020-05-22
Nevada,7525,125,386,3,0.0513,38.3135,-117.0554,2020-05-22
New Hampshire,4014,79,204,5,0.0508,43.4525,-71.5639,2020-05-22
New Jersey,152579,993,10985,139,0.072,40.2989,-74.521,2020-05-22
New Mexico,6625,153,302,8,0.0456,34.8405,-106.2485,2020-05-22
New York,358154,1696,28853,110,0.0806,42.1657,-74.9481,2020-05-22
North Carolina,22110,1598,775,47,0.0351,35.6301,-79.8064,2020-05-22
North Dakota,2317,88,52,1,0.0224,47.5289,-99.784,2020-05-22
Ohio,30794,627,1872,35,0.0608,40.3888,-82.7649,2020-05-22
Oklahoma,5849,169,307,3,0.0525,35.5653,-96.9289,2020-05-22
Oregon,3864,47,147,2,0.038,44.572,-122.0709,2020-05-22
Pennsylvania,70211,959,5010,141,0.0714,40.5908,-77.2098,2020-05-22
Rhode Island,13736,165,579,23,0.0422,41.6809,-71.5118,2020-05-22
South Carolina,9638,257,419,3,0.0435,33.8569,-80.945,2020-05-22
South Dakota,4356,179,50,2,0.0115,44.2998,-99.4388,2020-05-22
Tennessee,19394,433,315,2,0.0162,35.7478,-86.6923,2020-05-22
Texas,53539,486,1470,10,0.0275,31.0545,-97.5635,2020-05-22
Utah,8057,183,93,1,0.0115,40.15,-111.8624,2020-05-22
Vermont,952,2,54,0,0.0567,44.0459,-72.7107,2020-05-22
Virginia,34950,813,1136,36,0.0325,37.7693,-78.17,2020-05-22
Washington,19265,148,1050,6,0.0545,47.4009,-121.4905,2020-05-22
West Virginia,1705,112,72,2,0.0422,38.4912,-80.9545,2020-05-22
Wisconsin,14396,511,496,9,0.0345,44.2685,-89.6165,2020-05-22
Wyoming,803,2,12,0,0.0149,42.756,-107.3025,2020-05-22
Alabama,14117,447,549,8,0.0389,32.3182,-86.9023,2020-05-23
Alaska,407,4,10,0,0.0246,61.3707,-152.4044,2020-05-23
Arizona,16053,429,801,26,0.0499,33.7298,-111.4312,2020-05-23
Arkansas,5775,163,115,2,0.0199,34.9697,-92.3731,2020-05-23
California,92539,2287,3738,72,0.0404,36.1162,-119.6816,2020-05-23
Colorado,23964,477,1327,3,0.0554,39.0598,-105.3111,2020-05-23
Connecticut,40022,382,3675,38,0.0918,41.5978,-72.7554,2020-05-23
Delaware,8529,0,322,0,0.0378,39.3185,-75.5071,2020-05-23
District of Columbia,7966,73,427,9,0.0536,38.8974,-77.0268,2020-05-23
Florida,50127,676,2233,43,0.0445,27.7663,-81.6868,2020-05-23
Georgia,42242,760,1822,14,0.0431,33.0406,-83.6431,2020-05-23
Idaho,2595,0,79,0,0.0304,44.2405,-114.4788,2020-05-23
Illinois,107796,2352,4790,75,0.0444,40.3495,-88.9861,2020-05-23
Indiana,30901,492,1964,23,0.0636,39.8494,-86.2583,2020-05-23
Iowa,16898,406,446,22,0.0264,42.0115,-93.2105,2020-05-23
Kansas,8946,37,205,0,0.0229,38.5266,-96.7265,2020-05-23
Kentucky,8571,145,391,0,0.0456,37.6681,-84.6701,2020-05-23
Louisiana,36925,0,2668,0,0.0723,31.1695,-91.8678,2020-05-23
Maine,2013,65,77,2,0.0383,44.6939,-69.3819,2020-05-23
Maryland,45495,1071,2243,36,0.0493,39.0639,-76.8021,2020-05-23
Massachusetts,91662,773,6304,76,0.0688,42.2302,-71.5301,2020-05-23
Michigan,54365,452,5223,65,0.0961,43.3266,-84.5361,2020-05-23
Minnesota,19845,840,861,10,0.0434,45.6945,-93.9002,2020-05-23
Mississippi,13005,380,616,21,0.0474,32.7416,-89.6787,2020-05-23
Missouri,11966,130,682,5,0.057,38.4561,-92.2884,2020-05-23
Montana,479,0,16,0,0.0334,46.9219,-110.4544,2020-05-23
Nebraska,11963,301,147,0,0.0123,41.1254,-98.2681,2020-05-23
Nevada,7526,1,387,1,0.0514,38.3135,-117.0554,2020-05-23
New Hampshire,4089,75,208,4,0.0509,43.4525,-71.5639,2020-05-23
New Jersey,153140,561,11082,97,0.0724,40.2989,-74.521,2020-05-23
New Mexico,6625,0,302,0,0.0456,34.8405,-106.2485,2020-05-23
New York,359926,1772,29031,178,0.0807,42.1657,-74.9481,2020-05-23
North Carolina,22864,754,778,3,0.034,35.6301,-79.8064,2020-05-23
North Dakota,2365,48,52,0,0.022,47.5289,-99.784,2020-05-23
Ohio,31408,614,1956,84,0.0623,40.3888,-82.7649,2020-05-23
Oklahoma,5960,111,311,4,0.0522,35.5653,-96.9289,2020-05-23
Oregon,3888,24,147,0,0.0378,44.572,-122.0709,2020-05-23
Pennsylvania,71009,798,5112,102,0.072,40.5908,-77.2098,2020-05-23
Rhode Island,13952,216,597,18,0.0428,41.6809,-71.5118,2020-05-23
South Carolina,9895,257,425,6,0.043,33.8569,-80.945,2020-05-23
South Dakota,4464,108,50,0,0.0112,44.2998,-99.4388,2020-05-23
Tennessee,19785,391,329,14,0.0166,35.7478,-86.6923,2020-05-23
Texas,54776,1237,1478,8,0.027,31.0545,-97.5635,2020-05-23
Utah,8260,203,97,4,0.0117,40.15,-111.8624,2020-05-23
Vermont,954,2,54,0,0.0566,44.0459,-72.7107,2020-05-23
Virginia,35749,799,1159,23,0.0324,37.7693,-78.17,2020-05-23
Washington,19265,0,1050,0,0.0545,47.4009,-121.4905,2020-05-23
West Virginia,1705,0,72,0,0.0422,38.4912,-80.9545,2020-05-23
Wisconsin,14877,481,507,11,0.0341,44.2685,-89.6165,2020-05-23
Wyoming,813,10,12,0,0.0148,42.756,-107.3025,2020-05-23
Alabama,14478,361,551,2,0.0381,32.3182,-86.9023,2020-05-24
Alaska,407,0,10,0,0.0246,61.3707,-152.4044,2020-05-24
Arizona,16377,324,801,0,0.0489,33.7298,-111.4312,2020-05-24
Arkansas,5922,147,116,1,0.0196,34.9697,-92.3731,2020-05-24
California,94020,1481,3754,16,0.0399,36.1162,-119.6816,2020-05-24
Colorado,24174,210,1332,5,0.0551,39.0598,-105.3111,2020-05-24
Connecticut,40468,446,3693,18,0.0913,41.5978,-72.7554,2020-05-24
Delaware,8809,280,326,4,0.037,39.3185,-75.5071,2020-05-24
District of Columbia,8110,144,432,5,0.0533,38.8974,-77.0268,2020-05-24
Florida,50867,740,2237,4,0.044,27.7663,-81.6868,2020-05-24
Georgia,42902,660,1827,5,0.0426,33.0406,-83.6431,2020-05-24
Idaho,2626,31,79,0,0.0301,44.2405,-114.4788,2020-05-24
Illinois,110304,2508,4856,66,0.044,40.3495,-88.9861,2020-05-24
Indiana,31376,475,1976,12,0.063,39.8494,-86.2583,2020-05-24
Iowa,17251,353,456,10,0.0264,42.0115,-93.2105,2020-05-24
Kansas,9004,58,205,0,0.0228,38.5266,-96.7265,2020-05-24
Kentucky,8571,0,391,0,0.0456,37.6681,-84.6701,2020-05-24
Louisiana,37169,244,2691,23,0.0724,31.1695,-91.8678,2020-05-24
Maine,2055,42,78,1,0.038,44.6939,-69.3819,2020-05-24
Maryland,46313,818,2277,34,0.0492,39.0639,-76.8021,2020-05-24
Massachusetts,92675,1013,6372,68,0.0688,42.2302,-71.5301,2020-05-24
Michigan,54679,314,5228,5,0.0956,43.3266,-84.5361,2020-05-24
Minnesota,20573,728,878,17,0.0427,45.6945,-93.9002,2020-05-24
Mississippi,13260,255,625,9,0.0471,32.7416,-89.6787,2020-05-24
Missouri,12149,183,686,4,0.0565,38.4561,-92.2884,2020-05-24
Montana,479,0,16,0,0.0334,46.9219,-110.4544,2020-05-24
Nebraska,12134,171,147,0,0.0121,41.1254,-98.2681,2020-05-24
Nevada,7881,355,380,-7,0.0482,38.3135,-117.0554,2020-05-24
New Hampshire,4149,60,209,1,0.0504,43.4525,-71.5639,2020-05-24
New Jersey,154154,1014,11138,56,0.0723,40.2989,-74.521,2020-05-24
New Mexico,6943,318,317,15,0.0457,34.8405,-106.2485,2020-05-24
New York,361515,1589,29141,110,0.0806,42.1657,-74.9481,2020-05-24
North Carolina,23365,501,784,6,0.0336,35.6301,-79.8064,2020-05-24
North Dakota,2418,53,53,1,0.0219,47.5289,-99.784,2020-05-24
Ohio,31911,503,1969,13,0.0617,40.3888,-82.7649,2020-05-24
Oklahoma,6037,77,311,0,0.0515,35.5653,-96.9289,2020-05-24
Oregon,3927,39,148,1,0.0377,44.572,-122.0709,2020-05-24
Pennsylvania,71563,554,5136,24,0.0718,40.5908,-77.2098,2020-05-24
Rhode Island,14065,113,608,11,0.0432,41.6809,-71.5118,2020-05-24
South Carolina,10096,201,435,10,0.0431,33.8569,-80.945,2020-05-24
South Dakota,4563,99,50,0,0.011,44.2998,-99.4388,2020-05-24
Tennessee,20111,326,336,7,0.0167,35.7478,-86.6923,2020-05-24
Texas,55861,1085,1528,50,0.0274,31.0545,-97.5635,2020-05-24
Utah,8392,132,97,0,0.0116,40.15,-111.8624,2020-05-24
Vermont,956,2,54,0,0.0565,44.0459,-72.7107,2020-05-24
Virginia,36244,495,1171,12,0.0323,37.7693,-78.17,2020-05-24
Washington,19828,563,1061,11,0.0535,47.4009,-121.4905,2020-05-24
West Virginia,1759,54,72,0,0.0409,38.4912,-80.9545,2020-05-24
Wisconsin,15277,400,510,3,0.0334,44.2685,-89.6165,2020-05-24
Wyoming,838,25,12,0,0.0143,42.756,-107.3025,2020-05-24
Alabama,14986,508,566,15,0.0378,32.3182,-86.9023,2020-05-25
Alaska,408,1,10,0,0.0245,61.3707,-152.4044,2020-05-25
Arizona,16575,198,807,6,0.0487,33.7298,-111.4312,2020-05-25
Arkansas,6029,107,117,1,0.0194,34.9697,-92.3731,2020-05-25
California,96400,2380,3769,15,0.0391,36.1162,-119.6816,2020-05-25
Colorado,24256,82,1333,1,0.055,39.0598,-105.3111,2020-05-25
Connecticut,40873,405,3742,49,0.0916,41.5978,-72.7554,2020-05-25
Delaware,8965,156,332,6,0.037,39.3185,-75.5071,2020-05-25
District of Columbia,8225,115,440,8,0.0535,38.8974,-77.0268,2020-05-25
Florida,51746,879,2252,15,0.0435,27.7663,-81.6868,2020-05-25
Georgia,43400,498,1848,21,0.0426,33.0406,-83.6431,2020-05-25
Idaho,2626,0,79,0,0.0301,44.2405,-114.4788,2020-05-25
Illinois,112017,1713,4885,29,0.0436,40.3495,-88.9861,2020-05-25
Indiana,31715,339,1984,8,0.0626,39.8494,-86.2583,2020-05-25
Iowa,17557,306,456,0,0.026,42.0115,-93.2105,2020-05-25
Kansas,9125,121,207,2,0.0227,38.5266,-96.7265,2020-05-25
Kentucky,8571,0,391,0,0.0456,37.6681,-84.6701,2020-05-25
Louisiana,37809,640,2691,0,0.0712,31.1695,-91.8678,2020-05-25
Maine,2074,19,78,0,0.0376,44.6939,-69.3819,2020-05-25
Maryland,47152,839,2302,25,0.0488,39.0639,-76.8021,2020-05-25
Massachusetts,93271,596,6416,44,0.0688,42.2302,-71.5301,2020-05-25
Michigan,54881,202,5241,13,0.0955,43.3266,-84.5361,2020-05-25
Minnesota,21315,742,890,12,0.0418,45.6945,-93.9002,2020-05-25
Mississippi,13458,198,635,10,0.0472,32.7416,-89.6787,2020-05-25
Missouri,12476,327,689,3,0.0552,38.4561,-92.2884,2020-05-25
Montana,479,0,16,0,0.0334,46.9219,-110.4544,2020-05-25
Nebraska,12362,228,147,0,0.0119,41.1254,-98.2681,2020-05-25
Nevada,7956,75,394,14,0.0495,38.3135,-117.0554,2020-05-25
New Hampshire,4197,48,210,1,0.05,43.4525,-71.5639,2020-05-25
New Jersey,155092,938,11147,9,0.0719,40.2989,-74.521,2020-05-25
New Mexico,7026,83,320,3,0.0455,34.8405,-106.2485,2020-05-25
New York,362764,1249,29229,88,0.0806,42.1657,-74.9481,2020-05-25
North Carolina,24057,692,790,6,0.0328,35.6301,-79.8064,2020-05-25
North Dakota,2457,39,54,1,0.022,47.5289,-99.784,2020-05-25
Ohio,32477,566,1987,18,0.0612,40.3888,-82.7649,2020-05-25
Oklahoma,6090,53,313,2,0.0514,35.5653,-96.9289,2020-05-25
Oregon,3949,22,148,0,0.0375,44.572,-122.0709,2020-05-25
Pennsylvania,71925,362,5146,10,0.0715,40.5908,-77.2098,2020-05-25
Rhode Island,14065,0,608,0,0.0432,41.6809,-71.5118,2020-05-25
South Carolina,10178,82,440,5,0.0432,33.8569,-80.945,2020-05-25
South Dakota,4586,23,50,0,0.0109,44.2998,-99.4388,2020-05-25
Tennessee,20535,424,338,2,0.0165,35.7478,-86.6923,2020-05-25
Texas,56409,548,1533,5,0.0272,31.0545,-97.5635,2020-05-25
Utah,8521,129,98,1,0.0115,40.15,-111.8624,2020-05-25
Vermont,962,6,54,0,0.0561,44.0459,-72.7107,2020-05-25
Virginia,37727,1483,1208,37,0.032,37.7693,-78.17,2020-05-25
Washington,20065,237,1070,9,0.0533,47.4009,-121.4905,2020-05-25
West Virginia,1774,15,72,0,0.0406,38.4912,-80.9545,2020-05-25
Wisconsin,15584,307,514,4,0.033,44.2685,-89.6165,2020-05-25
Wyoming,843,5,12,0,0.0142,42.756,-107.3025,2020-05-25
Alabama,15650,664,580,14,0.0371,32.3182,-86.9023,2020-05-26
Alaska,410,2,10,0,0.0244,61.3707,-152.4044,2020-05-26
Arizona,16864,289,810,3,0.048,33.7298,-111.4312,2020-05-26
Arkansas,6180,151,119,2,0.0193,34.9697,-92.3731,2020-05-26
California,99387,2987,3819,50,0.0384,36.1162,-119.6816,2020-05-26
Colorado,24552,296,1352,19,0.0551,39.0598,-105.3111,2020-05-26
Connecticut,41303,430,3769,27,0.0913,41.5978,-72.7554,2020-05-26
Delaware,9066,101,335,3,0.037,39.3185,-75.5071,2020-05-26
District of Columbia,8334,109,440,0,0.0528,38.8974,-77.0268,2020-05-26
Florida,52255,509,2259,7,0.0432,27.7663,-81.6868,2020-05-26
Georgia,43983,583,1896,48,0.0431,33.0406,-83.6431,2020-05-26
Idaho,2626,0,79,0,0.0301,44.2405,-114.4788,2020-05-26
Illinois,113195,1178,4923,38,0.0435,40.3495,-88.9861,2020-05-26
Indiana,32078,363,2004,20,0.0625,39.8494,-86.2583,2020-05-26
Iowa,17703,146,477,21,0.0269,42.0115,-93.2105,2020-05-26
Kansas,9199,74,210,3,0.0228,38.5266,-96.7265,2020-05-26
Kentucky,8951,380,394,3,0.044,37.6681,-84.6701,2020-05-26
Louisiana,38054,245,2702,11,0.071,31.1695,-91.8678,2020-05-26
Maine,2109,35,79,1,0.0375,44.6939,-69.3819,2020-05-26
Maryland,47687,535,2333,31,0.0489,39.0639,-76.8021,2020-05-26
Massachusetts,93693,422,6473,57,0.0691,42.2302,-71.5301,2020-05-26
Michigan,55104,223,5266,25,0.0956,43.3266,-84.5361,2020-05-26
Minnesota,21960,645,908,18,0.0413,45.6945,-93.9002,2020-05-26
Mississippi,13731,273,652,17,0.0475,32.7416,-89.6787,2020-05-26
Missouri,12579,103,693,4,0.0551,38.4561,-92.2884,2020-05-26
Montana,479,0,17,1,0.0355,46.9219,-110.4544,2020-05-26
Nebraska,12619,257,147,0,0.0116,41.1254,-98.2681,2020-05-26
Nevada,8057,101,394,0,0.0489,38.3135,-117.0554,2020-05-26
New Hampshire,4231,34,214,4,0.0506,43.4525,-71.5639,2020-05-26
New Jersey,155764,672,11194,47,0.0719,40.2989,-74.521,2020-05-26
New Mexico,7130,104,325,5,0.0456,34.8405,-106.2485,2020-05-26
New York,363836,1072,29302,73,0.0805,42.1657,-74.9481,2020-05-26
North Carolina,24455,398,801,11,0.0328,35.6301,-79.8064,2020-05-26
North Dakota,2422,-35,54,0,0.0223,47.5289,-99.784,2020-05-26
Ohio,33006,529,2002,15,0.0607,40.3888,-82.7649,2020-05-26
Oklahoma,6138,48,318,5,0.0518,35.5653,-96.9289,2020-05-26
Oregon,3967,18,148,0,0.0373,44.572,-122.0709,2020-05-26
Pennsylvania,72778,853,5163,17,0.0709,40.5908,-77.2098,2020-05-26
Rhode Island,14210,145,634,26,0.0446,41.6809,-71.5118,2020-05-26
South Carolina,10416,238,446,6,0.0428,33.8569,-80.945,2020-05-26
South Dakota,4653,67,50,0,0.0107,44.2998,-99.4388,2020-05-26
Tennessee,20895,360,343,5,0.0164,35.7478,-86.6923,2020-05-26
Texas,57230,821,1546,13,0.027,31.0545,-97.5635,2020-05-26
Utah,8620,99,101,3,0.0117,40.15,-111.8624,2020-05-26
Vermont,967,5,54,0,0.0558,44.0459,-72.7107,2020-05-26
Virginia,39342,1615,1236,28,0.0314,37.7693,-78.17,2020-05-26
Washington,20181,116,1078,8,0.0534,47.4009,-121.4905,2020-05-26
West Virginia,1774,0,72,0,0.0406,38.4912,-80.9545,2020-05-26
Wisconsin,15863,279,517,3,0.0326,44.2685,-89.6165,2020-05-26
Wyoming,850,7,13,1,0.0153,42.756,-107.3025,2020-05-26
Alabama,16032,382,583,3,0.0364,32.3182,-86.9023,2020-05-27
Alaska,411,1,10,0,0.0243,61.3707,-152.4044,2020-05-27
Arizona,17318,454,834,24,0.0482,33.7298,-111.4312,2020-05-27
Arkansas,6277,97,120,1,0.0191,34.9697,-92.3731,2020-05-27
California,101050,1663,3895,76,0.0385,36.1162,-119.6816,2020-05-27
Colorado,24754,202,1392,40,0.0562,39.0598,-105.3111,2020-05-27
Connecticut,41288,-15,3803,34,0.0921,41.5978,-72.7554,2020-05-27
Delaware,9096,30,344,9,0.0378,39.3185,-75.5071,2020-05-27
District of Columbia,8406,72,445,5,0.0529,38.8974,-77.0268,2020-05-27
Florida,52634,379,2319,60,0.0441,27.7663,-81.6868,2020-05-27
Georgia,44638,655,1933,37,0.0433,33.0406,-83.6431,2020-05-27
Idaho,2699,73,81,2,0.03,44.2405,-114.4788,2020-05-27
Illinois,114306,1111,5083,160,0.0445,40.3495,-88.9861,2020-05-27
Indiana,32437,359,2030,26,0.0626,39.8494,-86.2583,2020-05-27
Iowa,18369,666,496,19,0.027,42.0115,-93.2105,2020-05-27
Kansas,9291,92,213,3,0.0229,38.5266,-96.7265,2020-05-27
Kentucky,9077,126,400,6,0.0441,37.6681,-84.6701,2020-05-27
Louisiana,38497,443,2723,21,0.0707,31.1695,-91.8678,2020-05-27
Maine,2137,28,81,2,0.0379,44.6939,-69.3819,2020-05-27
Maryland,48423,736,2392,59,0.0494,39.0639,-76.8021,2020-05-27
Massachusetts,94220,527,6547,74,0.0695,42.2302,-71.5301,2020-05-27
Michigan,55608,504,5334,68,0.0959,43.3266,-84.5361,2020-05-27
Minnesota,22464,504,942,34,0.0419,45.6945,-93.9002,2020-05-27
Mississippi,14044,313,670,18,0.0477,32.7416,-89.6787,2020-05-27
Missouri,12816,237,689,-4,0.0538,38.4561,-92.2884,2020-05-27
Montana,481,2,17,0,0.0353,46.9219,-110.4544,2020-05-27
Nebraska,12984,365,153,6,0.0118,41.1254,-98.2681,2020-05-27
Nevada,8150,93,402,8,0.0493,38.3135,-117.0554,2020-05-27
New Hampshire,4286,55,223,9,0.052,43.4525,-71.5639,2020-05-27
New Jersey,156628,864,11339,145,0.0724,40.2989,-74.521,2020-05-27
New Mexico,7252,122,329,4,0.0454,34.8405,-106.2485,2020-05-27
New York,364965,1129,29484,182,0.0808,42.1657,-74.9481,2020-05-27
North Carolina,24916,461,844,43,0.0339,35.6301,-79.8064,2020-05-27
North Dakota,2439,17,56,2,0.023,47.5289,-99.784,2020-05-27
Ohio,33439,433,2044,42,0.0611,40.3888,-82.7649,2020-05-27
Oklahoma,6229,91,322,4,0.0517,35.5653,-96.9289,2020-05-27
Oregon,4038,71,148,0,0.0367,44.572,-122.0709,2020-05-27
Pennsylvania,73557,779,5265,102,0.0716,40.5908,-77.2098,2020-05-27
Rhode Island,14353,143,655,21,0.0456,41.6809,-71.5118,2020-05-27
South Carolina,10623,207,466,20,0.0439,33.8569,-80.945,2020-05-27
South Dakota,4710,57,54,4,0.0115,44.2998,-99.4388,2020-05-27
Tennessee,21285,390,353,10,0.0166,35.7478,-86.6923,2020-05-27
Texas,58542,1312,1581,35,0.027,31.0545,-97.5635,2020-05-27
Utah,8706,86,105,4,0.0121,40.15,-111.8624,2020-05-27
Vermont,971,4,54,0,0.0556,44.0459,-72.7107,2020-05-27
Virginia,40249,907,1281,45,0.0318,37.7693,-78.17,2020-05-27
Washington,20406,225,1095,17,0.0537,47.4009,-121.4905,2020-05-27
West Virginia,1899,125,74,2,0.039,38.4912,-80.9545,2020-05-27
Wisconsin,16462,599,539,22,0.0327,44.2685,-89.6165,2020-05-27
Wyoming,860,10,14,1,0.0163,42.756,-107.3025,2020-05-27
Alabama,16530,498,591,8,0.0358,32.3182,-86.9023,2020-05-28
Alaska,424,13,10,0,0.0236,61.3707,-152.4044,2020-05-28
Arizona,17877,559,860,26,0.0481,33.7298,-111.4312,2020-05-28
Arkansas,6538,261,125,5,0.0191,34.9697,-92.3731,2020-05-28
California,103813,2763,3993,98,0.0385,36.1162,-119.6816,2020-05-28
Colorado,25107,353,1421,29,0.0566,39.0598,-105.3111,2020-05-28
Connecticut,41559,271,3826,23,0.0921,41.5978,-72.7554,2020-05-28
Delaware,9171,75,345,1,0.0376,39.3185,-75.5071,2020-05-28
District of Columbia,8492,86,453,8,0.0533,38.8974,-77.0268,2020-05-28
Florida,53285,651,2364,45,0.0444,27.7663,-81.6868,2020-05-28
Georgia,45266,628,1973,40,0.0436,33.0406,-83.6431,2020-05-28
Idaho,2770,71,82,1,0.0296,44.2405,-114.4788,2020-05-28
Illinois,115833,1527,5186,103,0.0448,40.3495,-88.9861,2020-05-28
Indiana,33068,631,2068,38,0.0625,39.8494,-86.2583,2020-05-28
Iowa,18586,217,506,10,0.0272,42.0115,-93.2105,2020-05-28
Kansas,9371,80,214,1,0.0228,38.5266,-96.7265,2020-05-28
Kentucky,9185,108,409,9,0.0445,37.6681,-84.6701,2020-05-28
Louisiana,38802,305,2741,18,0.0706,31.1695,-91.8678,2020-05-28
Maine,2189,52,84,3,0.0384,44.6939,-69.3819,2020-05-28
Maryland,49709,1286,2428,36,0.0488,39.0639,-76.8021,2020-05-28
Massachusetts,94895,675,6640,93,0.07,42.2302,-71.5301,2020-05-28
Michigan,56014,406,5372,38,0.0959,43.3266,-84.5361,2020-05-28
Minnesota,22947,483,977,35,0.0426,45.6945,-93.9002,2020-05-28
Mississippi,14372,328,693,23,0.0482,32.7416,-89.6787,2020-05-28
Missouri,12981,165,708,19,0.0545,38.4561,-92.2884,2020-05-28
Montana,485,4,17,0,0.0351,46.9219,-110.4544,2020-05-28
Nebraska,13249,265,163,10,0.0123,41.1254,-98.2681,2020-05-28
Nevada,8248,98,406,4,0.0492,38.3135,-117.0554,2020-05-28
New Hampshire,4389,103,232,9,0.0529,43.4525,-71.5639,2020-05-28
New Jersey,157185,557,11409,70,0.0726,40.2989,-74.521,2020-05-28
New Mexico,7364,112,335,6,0.0455,34.8405,-106.2485,2020-05-28
New York,366733,1768,29529,45,0.0805,42.1657,-74.9481,2020-05-28
North Carolina,25800,884,876,32,0.034,35.6301,-79.8064,2020-05-28
North Dakota,2481,42,57,1,0.023,47.5289,-99.784,2020-05-28
Ohio,33915,476,2098,54,0.0619,40.3888,-82.7649,2020-05-28
Oklahoma,6273,44,325,3,0.0518,35.5653,-96.9289,2020-05-28
Oregon,4086,48,151,3,0.037,44.572,-122.0709,2020-05-28
Pennsylvania,74220,663,5373,108,0.0724,40.5908,-77.2098,2020-05-28
Rhode Island,14494,141,677,22,0.0467,41.6809,-71.5118,2020-05-28
South Carolina,10788,165,470,4,0.0436,33.8569,-80.945,2020-05-28
South Dakota,4793,83,54,0,0.0113,44.2998,-99.4388,2020-05-28
Tennessee,21679,394,356,3,0.0164,35.7478,-86.6923,2020-05-28
Texas,60395,1853,1611,30,0.0267,31.0545,-97.5635,2020-05-28
Utah,8921,215,106,1,0.0119,40.15,-111.8624,2020-05-28
Vermont,974,3,55,1,0.0565,44.0459,-72.7107,2020-05-28
Virginia,41401,1152,1338,57,0.0323,37.7693,-78.17,2020-05-28
Washington,20764,358,1106,11,0.0533,47.4009,-121.4905,2020-05-28
West Virginia,1935,36,74,0,0.0382,38.4912,-80.9545,2020-05-28
Wisconsin,16974,512,550,11,0.0324,44.2685,-89.6165,2020-05-28
Wyoming,876,16,15,1,0.0171,42.756,-107.3025,2020-05-28
Alabama,17031,501,610,19,0.0358,32.3182,-86.9023,2020-05-29
Alaska,429,5,10,0,0.0233,61.3707,-152.4044,2020-05-29
Arizona,18472,595,886,26,0.048,33.7298,-111.4312,2020-05-29
Arkansas,6777,239,132,7,0.0195,34.9697,-92.3731,2020-05-29
California,106622,2809,4077,84,0.0382,36.1162,-119.6816,2020-05-29
Colorado,25598,491,1436,15,0.0561,39.0598,-105.3111,2020-05-29
Connecticut,41762,203,3868,42,0.0926,41.5978,-72.7554,2020-05-29
Delaware,9236,65,356,11,0.0385,39.3185,-75.5071,2020-05-29
District of Columbia,8538,46,460,7,0.0539,38.8974,-77.0268,2020-05-29
Florida,54497,1212,2413,49,0.0443,27.7663,-81.6868,2020-05-29
Georgia,45881,615,1987,14,0.0433,33.0406,-83.6431,2020-05-29
Idaho,2770,0,82,0,0.0296,44.2405,-114.4788,2020-05-29
Illinois,117455,1622,5270,84,0.0449,40.3495,-88.9861,2020-05-29
Indiana,33558,490,2110,42,0.0629,39.8494,-86.2583,2020-05-29
Iowa,18957,371,524,18,0.0276,42.0115,-93.2105,2020-05-29
Kansas,9662,291,215,1,0.0223,38.5266,-96.7265,2020-05-29
Kentucky,9464,279,418,9,0.0442,37.6681,-84.6701,2020-05-29
Louisiana,38802,0,2767,26,0.0713,31.1695,-91.8678,2020-05-29
Maine,2226,37,85,1,0.0382,44.6939,-69.3819,2020-05-29
